name,price,rating,mean,link
"Notebook VAIO FE15 AMD Ryzen 5 8GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Windows 11 Home - Cinza Grafite, VJFE59F11X-B0531H","R$2799,01",10,"4,5 de 5 estrelas",https://www.amazon.com.br/Notebook-VAIO-FE15-Antirreflexo-Windows/dp/B0D2DP35L4/ref=sr_1_11?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Lenovo Ideapad 1i i5-1235U 8GB 512GB SSD 15.6"" W11","R$2806,99",548,"4,7 de 5 estrelas",https://www.amazon.com.br/Notebook-Lenovo-Ideapad-i5-1235U-512GB/dp/B0CK3R8JYG/ref=sr_1_12?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Positivo Duo 2 em1 Intel Celeron 4GB 128GB, Tela 11,6"" IPS HD, Windows11, Cinza - C4128B-3","R$1349,10",260,"4,5 de 5 estrelas",https://www.amazon.com.br/Notebook-Positivo-Celeron-C4128B-3-Windows11/dp/B0BZ8Y9QV9/ref=sr_1_13?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Samsung Galaxy Book Go, Windows 11 Home, 4GB, 128GB UFS, 14'' Full HD LED, 1.38kg","R$1999,00",499,"4,6 de 5 estrelas",https://www.amazon.com.br/Notebook-Samsung-Galaxy-Windows-1-38kg/dp/B0C2VTDM2H/ref=sr_1_14?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-14&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook ASUS VivoBook Go 15, AMD RYZEN 5 7520U, 8GB, 512GB SSD, W11 Home, Tela 15,60"" FHD, Mixed Black - E1504FA-NJ836W","R$2472,68",20,"4,1 de 5 estrelas",https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-7520U/dp/B0CLS8XXGF/ref=sr_1_15?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook VAIO FE15 AMD Ryzen 5 8GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE59F11X-B1911H","R$2899,00",3,"4,3 de 5 estrelas",https://www.amazon.com.br/Notebook-VAIO-FE15-Ryzen-Antirreflexo/dp/B0D366MTFX/ref=sr_1_16?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Galaxy Book2 Intel® Core™ i3-1215U, Windows 11 Home, 4GB, 256GB SSD, 15.6'' Full HD LED, 1.81kg*.","R$2419,00",127,"4,7 de 5 estrelas",https://www.amazon.com.br/Galaxy-Intel%C2%AE-CoreTM-i3-1215U-Windows/dp/B0CB6XBMPV/ref=sr_1_17?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Dell Inspiron I15-I120K-A40P 15.6"" Full HD 12ª Geração Intel Core i7 8GB 512GB SSD Windows 11 Preto","R$3880,86",,,https://www.amazon.com.br/Notebook-Dell-Inspiron-I15-I120K-A40P-Gera%C3%A7%C3%A3o/dp/B0D4F86D94/ref=sr_1_18?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Notebook Lenovo Ultrafino IdeaPad 1 i3-1215U 8GB 256GB SSD Windows Home 15.6"" 82VY000SBR Cloud Grey","R$2429,01",36,"4,6 de 5 estrelas",https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i3-1215U-82VY000SBR/dp/B0CM8LZFXB/ref=sr_1_19?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Samsung Galaxy Book4 Intel® Core™ i3-1315U, Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg*.","R$2537,10",4,"5,0 de 5 estrelas",https://www.amazon.com.br/Samsung-Galaxy-i3-1315U-Windows-Graphics/dp/B0D4NSS9XV/ref=sr_1_20?crid=3FAAZOPL37ABO&dib=eyJ2IjoiMSJ9.u-_CTCkYpUUgYluDizP1na9dXodHCQbyepc8o1Mjg0x2GEGwcIjyRhqwek-38hkiTnQxprb180qPAxq4x6dyf4Y3gKSSGZrQpHFHY77weLB7FCfYh9tpuxE25l0PBEf6DrLt-S-5N4ibzunS8ZFsaeB3SeAw4i2eZ86G9BblPV83gjIlbxfnVb-M8b-tOPLFsVgTB2M1-LbPLD6BU6vZpyDc8xUN__82r0g6PTYiuTMX3WSsbs4ZBsNWZwqZBUMRpva-gYxttLbWVogBFECmh1Q6Al9TWvR0AYgTtf3kJxU.d_YtG9TtSpsjlT6t6tKHWoNkb-wiB_fKyRBWtx8bX7U&dib_tag=se&keywords=notebook&qid=1722483042&sprefix=note%2Caps%2C260&sr=8-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
